Archivo ; EleccionNro ; wavelet ; energiaPreProSI ; energiaPreProNO ; energiaPostProSI ; energiaPostProNO ; resultObtenido ; resultEsperado; TP ; TN ; FP ; FN
fer4 ; 1 ; coif4 ; 1219,506014 ; 661,585909 ; 71,958890 ; 160,905000 ; 0 ; 1 ; 0 ; 0 ; 0 ;1 
fer4 ; 2 ; coif4 ; 1461,491203 ; 1157,044187 ; 12,820615 ; 73,761048 ; 0 ; 0 ; 0 ; 1 ; 0 ;0 
fer5 ; 1 ; coif4 ; 736,732816 ; 1866,321326 ; 59,665414 ; 26,966045 ; 1 ; 1 ; 1 ; 0 ; 0 ;0 
mati-1-12,09,16,17,58,22 ; 1 ; coif4 ; 530,725808 ; 545,730174 ; 62,004033 ; 87,775214 ; 0 ; 0 ; 0 ; 1 ; 0 ;0 
nahuel6 ; 1 ; coif4 ; 943,727811 ; 1358,004923 ; 13,778945 ; 5,024918 ; 1 ; 1 ; 1 ; 0 ; 0 ;0 
nahuel7 ; 1 ; coif4 ; 573,580812 ; 890,806093 ; 36,454845 ; 28,037493 ; 1 ; 0 ; 0 ; 0 ; 1 ;0 
fer1 ; 1 ; coif4 ; 596,487838 ; 1769,306820 ; 226,613082 ; 210,112991 ; 1 ; 1 ; 1 ; 0 ; 0 ;0 
fer2 ; 1 ; coif4 ; 762,704053 ; 931,583290 ; 157,952321 ; 515,240811 ; 0 ; 0 ; 0 ; 1 ; 0 ;0 
fer3x ; 1 ; coif4 ; 996,763536 ; 938,334668 ; 121,390368 ; 61,528947 ; 1 ; 1 ; 1 ; 0 ; 0 ;0 
fer4 ; 1 ; coif4 ; 1627,547258 ; 992,635216 ; 141,382918 ; 122,617215 ; 1 ; 1 ; 1 ; 0 ; 0 ;0 
fer4 ; 2 ; coif4 ; 1032,722371 ; 1422,577804 ; 14,442779 ; 74,493387 ; 0 ; 0 ; 0 ; 1 ; 0 ;0 
fer5 ; 1 ; coif4 ; 957,189377 ; 1087,584223 ; 25,363013 ; 107,106852 ; 0 ; 1 ; 0 ; 0 ; 0 ;1 
mati-1-12,09,16,17,58,22 ; 1 ; coif4 ; 611,070657 ; 443,699893 ; 70,089213 ; 105,804306 ; 0 ; 0 ; 0 ; 1 ; 0 ;0 
nahuel6 ; 1 ; coif4 ; 783,409434 ; 1180,704002 ; 28,099732 ; 5,350577 ; 1 ; 1 ; 1 ; 0 ; 0 ;0 
nahuel7 ; 1 ; coif4 ; 515,625852 ; 712,448247 ; 58,800315 ; 13,734386 ; 1 ; 0 ; 0 ; 0 ; 1 ;0 
