Archivo ; EleccionNro ; wavelet ; energiaPreProSI ; energiaPreProNO ; energiaPostProSI ; energiaPostProNO ; resultObtenido ; resultEsperado; TP ; TN ; FP ; FN
fer3x ; 1 ; db4 ; 1744.671142 ; 756.425079 ; 65.522901 ; 5.472491 ; 1 ; 1 ; 1 ; 0 ; 0 ;0 
fer4 ; 1 ; db4 ; 796.269149 ; 1273.591373 ; 75.633331 ; 42.073170 ; 1 ; 1 ; 1 ; 0 ; 0 ;0 
fer4 ; 2 ; db4 ; 1345.295286 ; 1764.776620 ; 66.003374 ; 20.706757 ; 1 ; 0 ; 0 ; 0 ; 1 ;0 
fer5 ; 1 ; db4 ; 1338.105570 ; 454.126086 ; 7.457424 ; 22.270297 ; 0 ; 1 ; 0 ; 0 ; 0 ;1 
mati-1-12.09.16.17.58.22 ; 1 ; db4 ; 1375.464872 ; 1018.608918 ; 65.278917 ; 113.385676 ; 0 ; 0 ; 0 ; 1 ; 0 ;0 
nahuel6 ; 1 ; db4 ; 1050.803779 ; 1180.704002 ; 45.133388 ; 41.192843 ; 1 ; 1 ; 1 ; 0 ; 0 ;0 
nahuel7 ; 1 ; db4 ; 515.625852 ; 544.989468 ; 73.310962 ; 16.006316 ; 1 ; 0 ; 0 ; 0 ; 1 ;0 
fer1 ; 1 ; db9 ; 744.261548 ; 783.410469 ; 289.456980 ; 321.837348 ; 0 ; 1 ; 0 ; 0 ; 0 ;1 
fer2 ; 1 ; db9 ; 839.651114 ; 1607.787034 ; 58.631251 ; 490.876281 ; 0 ; 0 ; 0 ; 1 ; 0 ;0 
fer3x ; 1 ; db9 ; 1744.671142 ; 756.425079 ; 128.787436 ; 23.183766 ; 1 ; 1 ; 1 ; 0 ; 0 ;0 
fer4 ; 1 ; db9 ; 796.269149 ; 1273.591373 ; 201.900161 ; 83.361223 ; 1 ; 1 ; 1 ; 0 ; 0 ;0 
fer4 ; 2 ; db9 ; 1345.295286 ; 1764.776620 ; 32.486837 ; 43.750707 ; 0 ; 0 ; 0 ; 1 ; 0 ;0 
fer5 ; 1 ; db9 ; 1338.105570 ; 454.126086 ; 9.354460 ; 22.497087 ; 0 ; 1 ; 0 ; 0 ; 0 ;1 
mati-1-12.09.16.17.58.22 ; 1 ; db9 ; 1375.464872 ; 1018.608918 ; 136.679337 ; 150.896807 ; 0 ; 0 ; 0 ; 1 ; 0 ;0 
nahuel6 ; 1 ; db9 ; 1050.803779 ; 1180.704002 ; 88.732632 ; 36.665988 ; 1 ; 1 ; 1 ; 0 ; 0 ;0 
nahuel7 ; 1 ; db9 ; 515.625852 ; 544.989468 ; 144.552298 ; 44.494079 ; 1 ; 0 ; 0 ; 0 ; 1 ;0 
